Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),Creatine(g)
Rice (cooked),1.30,0.28,0.027,0.003,0.01,0.004,0.002,0.003,0.00002,0.0,0.003,0.0
Chicken Breast,1.65,0.0,0.31,0.036,0.0,0.0,0.074,0.015,0.001,0.0,0.004,0.005
Banana,0.89,0.23,0.011,0.003,0.12,0.026,0.001,0.005,0.0003,0.087,0.02,0.0
Apple,0.52,0.14,0.003,0.002,0.104,0.024,0.001,0.006,0.0001,0.046,0.003,0.0
Whole Wheat Bread,2.47,0.41,0.13,0.033,0.06,0.072,0.491,0.162,0.0036,0.0,0.44,0.0
Milk (whole),0.61,0.048,0.032,0.033,0.048,0.0,0.044,0.113,0.00003,0.0015,0.005,0.0
Egg (whole),1.55,0.011,0.126,0.108,0.008,0.0,0.124,0.05,0.0012,0.0,0.044,0.0
Salmon,2.08,0.0,0.25,0.122,0.0,0.0,0.059,0.012,0.008,0.0,0.025,0.045
Spinach,0.23,0.036,0.029,0.004,0.004,0.022,0.079,0.099,0.0027,0.283,0.194,0.0
Almonds,5.79,0.218,0.212,0.498,0.044,0.125,0.001,0.264,0.0037,0.0,0.044,0.0
Sweet Potato,0.86,0.201,0.016,0.001,0.042,0.03,0.054,0.030,0.0006,0.023,0.011,0.0
Broccoli,0.34,0.070,0.028,0.004,0.015,0.026,0.033,0.047,0.0007,0.896,0.063,0.0
Greek Yogurt,0.59,0.04,0.10,0.0,0.04,0.0,0.036,0.110,0.0001,0.0,0.007,0.0
Quinoa (cooked),1.20,0.22,0.044,0.018,0.0,0.027,0.007,0.017,0.0014,0.0,0.042,0.0
Avocado,1.60,0.085,0.020,0.147,0.007,0.067,0.007,0.012,0.0006,0.100,0.081,0.0
Oats (dry),3.89,0.663,0.169,0.069,0.011,0.106,0.002,0.054,0.0047,0.0,0.056,0.0
Tomato,0.18,0.039,0.009,0.002,0.026,0.012,0.005,0.010,0.0003,0.139,0.015,0.0
Lentils (cooked),1.16,0.20,0.09,0.004,0.018,0.078,0.002,0.019,0.0033,0.015,0.181,0.0
Green Beans,0.31,0.070,0.018,0.002,0.033,0.027,0.006,0.037,0.0010,0.123,0.033,0.0
Orange,0.47,0.118,0.009,0.001,0.094,0.024,0.0,0.040,0.0001,0.532,0.040,0.0
