city_id,city_name,primary_language,capacity,job_demand,unemployment_rate,cost_level,diaspora_support_index,integration_policy_score
0,City_0,Spanish,3040,"IT,Retail,Healthcare",0.11,High,0.47,0.95
1,City_1,French,2609,"Engineering,Teaching,Retail",0.12,High,0.23,0.74
2,City_2,Spanish,2833,"Plumbing,Retail,Healthcare",0.07,High,0.45,0.65
3,City_3,Spanish,2813,"Teaching,Logistics,Engineering",0.05,Low,0.48,0.78
4,City_4,English,3284,"Agriculture,Carpentry,Plumbing",0.12,Low,0.22,0.89
5,City_5,Dari,3480,"Logistics,Healthcare,Agriculture",0.14,Low,0.54,0.58
6,City_6,Swahili,2893,"Retail,Construction,Plumbing",0.14,High,0.0,0.52
7,City_7,Dari,3490,"Carpentry,Engineering,IT",0.04,High,0.63,0.83
8,City_8,Arabic,2979,"Engineering,Logistics,Teaching",0.07,High,0.75,0.59
9,City_9,Urdu,2862,"IT,Construction,Agriculture",0.05,High,0.42,0.61
10,City_10,Swahili,2571,"Teaching,IT,Logistics",0.08,High,0.5,0.95
11,City_11,Urdu,2595,"Healthcare,IT,Carpentry",0.15,Medium,0.69,0.98
12,City_12,Dari,2694,"Engineering,Healthcare,Agriculture",0.09,High,0.23,0.69
13,City_13,English,3443,"Construction,Logistics,IT",0.11,Medium,0.11,0.86
14,City_14,French,2519,"IT,Carpentry,Construction",0.05,Medium,0.51,0.88
15,City_15,Arabic,3351,"Agriculture,Teaching,Logistics",0.05,Medium,0.63,0.71
16,City_16,Urdu,3255,"Agriculture,Engineering,Construction",0.07,Low,0.8,0.67
17,City_17,Swahili,3493,"Agriculture,Engineering,Teaching",0.13,Medium,0.88,0.93
18,City_18,Swahili,2888,"Construction,Carpentry,IT",0.1,Medium,0.58,0.73
19,City_19,Dari,3203,"Healthcare,Agriculture,Retail",0.11,Low,0.91,0.51
20,City_20,Swahili,2526,"Logistics,Agriculture,Engineering",0.09,Medium,0.9,0.68
21,City_21,Swahili,3033,"Retail,Engineering,Carpentry",0.11,High,0.36,0.69
22,City_22,Spanish,2989,"Agriculture,Logistics,Healthcare",0.11,Low,0.79,0.95
23,City_23,English,3242,"Carpentry,Teaching,Retail",0.09,High,0.3,0.53
24,City_24,Dari,3295,"Healthcare,Carpentry,Engineering",0.13,Low,0.13,0.97
25,City_25,English,2626,"Construction,IT,Engineering",0.12,Medium,0.67,0.61
26,City_26,Spanish,3261,"Construction,Healthcare,Engineering",0.08,Low,0.97,0.51
27,City_27,Dari,3330,"Plumbing,IT,Construction",0.14,Medium,0.14,0.74
28,City_28,Dari,2607,"Construction,Healthcare,Logistics",0.09,High,0.09,0.63
29,City_29,Spanish,2994,"Engineering,Carpentry,Construction",0.08,Medium,0.19,0.72
30,City_30,Urdu,2521,"Teaching,Logistics,IT",0.04,Medium,0.6,0.92
31,City_31,English,2705,"Construction,Plumbing,Logistics",0.1,High,0.88,0.62
32,City_32,French,3497,"Plumbing,Retail,Logistics",0.14,Medium,0.79,0.56
33,City_33,French,2905,"Healthcare,Agriculture,Plumbing",0.07,Low,0.42,0.75
34,City_34,Dari,2527,"Carpentry,Teaching,Engineering",0.13,Low,0.07,0.74
35,City_35,Spanish,2569,"Plumbing,Agriculture,Retail",0.06,High,0.09,0.6
36,City_36,Swahili,3321,"Retail,Logistics,IT",0.04,High,0.21,0.77
37,City_37,Swahili,3176,"Healthcare,Engineering,Teaching",0.03,Low,0.22,0.85
38,City_38,Arabic,2561,"Plumbing,Carpentry,IT",0.1,Medium,0.5,0.97
39,City_39,Dari,2948,"Retail,Logistics,IT",0.09,High,0.25,0.78
40,City_40,Spanish,3120,"Carpentry,IT,Retail",0.05,Medium,0.92,0.98
41,City_41,Spanish,3062,"Carpentry,Agriculture,Construction",0.12,Medium,0.72,0.79
42,City_42,Spanish,3447,"Retail,Construction,Healthcare",0.1,Medium,0.74,0.64
43,City_43,French,2903,"Engineering,Logistics,Plumbing",0.08,High,0.89,0.71
44,City_44,English,3344,"Logistics,Retail,Carpentry",0.07,Low,0.8,0.65
45,City_45,Swahili,2912,"Logistics,Retail,Construction",0.08,High,0.68,0.88
46,City_46,Urdu,2556,"Engineering,Healthcare,IT",0.11,Low,0.67,0.97
47,City_47,English,3081,"Logistics,Healthcare,Agriculture",0.11,High,0.0,0.65
48,City_48,Dari,2892,"Retail,Logistics,Plumbing",0.12,High,0.28,0.91
49,City_49,Spanish,2646,"Carpentry,Construction,Plumbing",0.12,Low,0.61,0.66
