refugee_id,family_size,origin_country,primary_language,education_level,skill_type,years_experience,trauma_level,aid_dependency_ratio,has_family_network,preferred_cost_level,adaptability_index
0,7,Country_21,Dari,Secondary,Carpentry,16,3,0.73,1,Medium,0.96
1,6,Country_115,Dari,Bachelor,Retail,16,4,0.28,0,High,0.96
2,8,Country_100,Swahili,Bachelor,Engineering,4,1,0.77,1,High,0.92
3,7,Country_49,Arabic,None,Teaching,1,3,0.21,0,Medium,0.07
4,3,Country_110,Urdu,Primary,Healthcare,18,3,0.35,0,Medium,0.01
5,5,Country_81,French,Master,Engineering,11,1,0.54,0,Medium,0.93
6,6,Country_94,Swahili,Bachelor,Engineering,0,1,0.09,0,Low,0.07
7,5,Country_109,Dari,Secondary,Agriculture,20,2,0.98,1,Low,0.19
8,3,Country_103,Urdu,Master,Agriculture,16,1,0.33,0,High,0.56
9,1,Country_67,Arabic,Secondary,Logistics,18,1,0.91,1,Low,0.49
10,8,Country_100,English,None,Carpentry,9,2,0.74,1,High,0.21
11,8,Country_72,English,None,Construction,20,5,0.0,1,Low,0.29
12,3,Country_107,Dari,None,Retail,14,3,0.5,1,Medium,0.82
13,1,Country_7,English,Primary,Retail,4,3,0.11,0,Medium,0.75
14,5,Country_96,Dari,Secondary,Logistics,6,5,0.33,1,Medium,0.52
15,5,Country_57,English,Secondary,Plumbing,25,2,0.34,0,Low,0.92
16,1,Country_9,French,Master,Construction,14,2,0.24,1,Low,0.93
17,2,Country_16,Urdu,Secondary,Retail,23,5,0.59,0,Low,0.33
18,1,Country_69,French,Primary,Construction,7,3,0.63,1,Low,0.82
19,2,Country_117,Arabic,None,Retail,23,3,0.24,0,Medium,0.4
20,3,Country_27,Swahili,None,Plumbing,6,2,0.68,0,High,0.14
21,2,Country_116,English,Bachelor,Logistics,21,1,0.49,1,High,0.15
22,8,Country_37,Swahili,None,Retail,14,3,0.76,1,Medium,0.43
23,7,Country_66,Dari,Bachelor,Healthcare,8,3,0.41,0,Low,0.59
24,5,Country_90,Dari,Primary,Teaching,4,3,0.98,0,Medium,0.48
25,8,Country_96,Dari,Secondary,Healthcare,23,1,0.13,0,Medium,0.76
26,5,Country_50,Spanish,Master,Agriculture,6,3,0.53,0,High,0.44
27,5,Country_117,Urdu,Bachelor,Logistics,4,3,0.72,0,Medium,0.67
28,6,Country_38,Arabic,None,Logistics,20,5,0.57,1,High,0.06
29,1,Country_53,Urdu,Primary,Construction,20,1,0.75,0,Low,0.78
30,2,Country_85,Urdu,Bachelor,Engineering,18,1,0.85,1,Low,0.32
31,5,Country_32,Arabic,Secondary,Logistics,24,5,0.36,1,Low,0.26
32,5,Country_11,English,Primary,Retail,21,1,0.07,1,Medium,0.5
33,2,Country_33,Swahili,Primary,Teaching,12,2,0.4,1,Low,0.48
34,4,Country_67,French,Bachelor,Retail,14,3,0.08,0,Medium,0.72
35,1,Country_83,English,Master,Construction,18,4,0.45,0,Medium,0.33
36,1,Country_40,Urdu,Primary,Healthcare,17,4,0.61,0,Medium,0.26
37,3,Country_4,French,Bachelor,Engineering,25,4,0.1,1,Low,0.72
38,6,Country_61,Urdu,None,Logistics,14,3,0.88,0,Medium,0.1
39,8,Country_52,French,Bachelor,Teaching,4,1,0.64,0,High,0.53
40,6,Country_67,Spanish,Secondary,Retail,19,1,0.09,1,Low,0.24
41,4,Country_12,Dari,Primary,Logistics,12,5,0.22,1,High,0.12
42,3,Country_110,English,Bachelor,Construction,6,1,0.78,1,Low,0.94
43,8,Country_35,Urdu,Secondary,Carpentry,13,1,0.56,1,Low,0.03
44,2,Country_110,Spanish,Master,Engineering,10,4,0.31,1,High,0.12
45,8,Country_35,English,Secondary,IT,20,2,0.46,1,Medium,0.73
46,3,Country_21,Spanish,Secondary,Engineering,21,1,0.2,0,Low,0.37
47,4,Country_33,Dari,Secondary,Teaching,19,4,0.46,0,Low,0.03
48,4,Country_21,Dari,Primary,Agriculture,2,1,0.72,1,Medium,0.79
49,5,Country_44,Urdu,None,IT,0,1,0.08,1,Medium,0.02
50,7,Country_106,English,None,Logistics,25,4,0.9,1,Medium,0.78
51,2,Country_22,French,Bachelor,Retail,21,1,0.65,0,Low,0.36
52,1,Country_71,Dari,Master,Engineering,9,2,0.64,0,High,0.42
53,2,Country_43,English,Bachelor,Engineering,24,2,0.13,1,Medium,0.93
54,4,Country_82,Arabic,None,Agriculture,24,5,0.87,1,High,0.17
55,7,Country_102,Swahili,None,Logistics,1,1,0.77,1,High,0.34
56,6,Country_88,French,Master,Teaching,1,4,0.17,0,Medium,0.45
57,8,Country_76,English,Master,Logistics,10,2,0.65,1,Low,0.24
58,3,Country_50,Arabic,Secondary,Teaching,0,3,0.9,1,Medium,0.76
59,4,Country_98,Swahili,None,Carpentry,4,5,0.72,0,Low,0.44
60,4,Country_115,French,Master,Logistics,9,5,0.05,0,Medium,0.32
61,3,Country_26,Dari,Master,Retail,21,3,0.7,0,Low,0.12
62,1,Country_37,Spanish,Secondary,Construction,22,5,0.07,1,Low,0.71
63,7,Country_79,Swahili,None,Agriculture,24,4,0.52,1,High,0.22
64,1,Country_85,English,Primary,IT,13,3,0.68,0,Medium,0.2
65,1,Country_72,Spanish,None,Construction,23,2,0.22,0,Low,0.96
66,6,Country_47,French,Primary,Carpentry,23,1,0.48,1,Low,0.75
67,2,Country_83,Swahili,Bachelor,Agriculture,14,1,0.19,1,Medium,0.59
68,1,Country_96,French,Bachelor,Construction,20,3,0.64,0,High,0.95
69,4,Country_30,French,Secondary,Plumbing,1,3,0.91,1,High,0.52
70,6,Country_27,Urdu,Master,Plumbing,0,5,0.63,1,Low,0.77
71,5,Country_92,English,Bachelor,Healthcare,4,1,0.26,0,Medium,0.1
72,1,Country_39,English,None,IT,20,4,0.32,0,High,0.77
73,2,Country_22,Spanish,Bachelor,Carpentry,4,4,0.82,1,High,0.89
74,2,Country_91,English,Secondary,Plumbing,25,4,0.5,1,Low,0.0
75,7,Country_26,French,Bachelor,Logistics,20,1,0.09,1,Medium,0.97
76,6,Country_61,Arabic,Secondary,Teaching,2,4,0.47,0,High,0.29
77,7,Country_81,English,Bachelor,Carpentry,9,2,0.06,0,Low,0.41
78,7,Country_37,Spanish,Bachelor,Teaching,24,4,0.91,0,Low,0.77
79,7,Country_120,Urdu,Secondary,Carpentry,7,5,0.02,0,Medium,0.43
80,7,Country_74,Dari,Bachelor,Healthcare,1,4,0.43,1,High,0.96
81,8,Country_63,Spanish,Bachelor,Teaching,19,4,0.79,0,Low,0.91
82,1,Country_34,Urdu,None,Engineering,17,5,0.44,0,Medium,0.02
83,2,Country_18,English,None,Engineering,5,4,0.87,0,Medium,1.0
84,6,Country_28,Dari,Primary,IT,3,3,0.9,0,High,0.85
85,8,Country_120,English,Bachelor,IT,10,5,0.15,0,Medium,0.29
86,4,Country_44,English,Bachelor,Healthcare,13,2,0.5,1,Low,0.96
87,8,Country_91,Urdu,None,Engineering,5,1,0.34,0,Medium,0.47
88,5,Country_42,Arabic,None,IT,5,4,0.78,1,Low,0.82
89,2,Country_40,Arabic,None,IT,0,3,0.19,1,Low,0.53
90,5,Country_100,Spanish,None,Carpentry,5,4,0.08,0,Medium,0.88
91,4,Country_47,Swahili,Secondary,Engineering,9,2,0.57,0,Medium,0.26
92,2,Country_69,French,None,Healthcare,20,2,0.31,0,High,0.94
93,6,Country_54,Urdu,Master,Plumbing,17,3,0.69,1,Medium,0.8
94,5,Country_106,Arabic,Master,Agriculture,4,4,0.84,0,Low,0.5
95,6,Country_89,French,Bachelor,Construction,11,4,0.36,1,Low,0.56
96,3,Country_120,Swahili,None,Construction,3,3,0.3,1,Low,0.62
97,7,Country_99,Arabic,Secondary,Construction,9,3,0.11,1,Medium,0.04
98,4,Country_4,Arabic,None,Logistics,21,1,0.51,0,Low,0.62
99,3,Country_38,Urdu,Secondary,Construction,9,4,0.34,0,Medium,0.57
100,2,Country_57,French,Primary,Plumbing,21,5,0.73,0,Medium,0.01
101,8,Country_108,Spanish,Primary,IT,16,2,0.37,1,High,0.83
102,8,Country_19,Arabic,Secondary,IT,23,4,0.18,1,Low,0.57
103,5,Country_38,Arabic,Master,Carpentry,16,4,0.97,0,Low,0.71
104,1,Country_79,Swahili,Primary,Healthcare,9,3,0.42,1,Low,0.76
105,5,Country_93,Swahili,Bachelor,Logistics,9,2,0.91,0,Medium,0.28
106,3,Country_103,Spanish,Primary,Construction,14,4,0.23,0,Medium,0.24
107,1,Country_43,French,Primary,Engineering,13,3,0.68,1,High,0.72
108,6,Country_41,Swahili,Primary,Construction,3,2,0.21,1,Low,0.88
109,5,Country_93,French,None,Plumbing,21,4,0.81,1,Medium,0.46
110,6,Country_72,French,Primary,Healthcare,2,5,0.92,1,Low,0.03
111,5,Country_68,Dari,Bachelor,Logistics,10,4,0.53,1,Low,0.81
112,1,Country_12,Swahili,Bachelor,Logistics,6,4,0.53,1,Medium,0.07
113,2,Country_24,Dari,Secondary,Retail,24,2,0.15,1,Medium,0.17
114,7,Country_8,Dari,Bachelor,Healthcare,11,5,0.91,1,Low,0.53
115,4,Country_61,English,Primary,Logistics,17,4,0.06,0,Low,0.87
116,6,Country_39,Swahili,Secondary,Construction,15,3,0.4,0,Medium,0.91
117,1,Country_62,Spanish,Primary,Construction,17,1,0.96,1,High,0.95
118,2,Country_2,Urdu,Master,Logistics,18,3,0.95,1,Medium,0.12
119,8,Country_16,Urdu,Master,Agriculture,19,4,0.93,0,High,0.9
120,5,Country_3,Urdu,Master,Construction,14,3,0.94,0,High,0.03
121,7,Country_74,French,Secondary,Agriculture,19,2,0.23,1,Medium,0.98
122,5,Country_4,Swahili,Bachelor,Plumbing,10,4,0.82,1,Low,0.32
123,8,Country_13,Dari,Secondary,Plumbing,4,4,0.88,1,High,0.87
124,8,Country_108,Arabic,Primary,Healthcare,19,5,0.27,0,Low,0.56
125,3,Country_63,Spanish,None,Agriculture,17,2,0.36,1,High,0.39
126,8,Country_38,Urdu,Bachelor,Logistics,2,2,0.41,1,High,0.34
127,8,Country_110,Dari,Secondary,IT,10,5,0.74,1,High,0.77
128,4,Country_59,Arabic,Bachelor,Construction,2,5,0.35,1,Low,0.11
129,3,Country_33,Urdu,Primary,Plumbing,9,2,0.6,1,Medium,0.7
130,3,Country_5,English,Secondary,Carpentry,23,3,0.91,0,High,0.8
131,1,Country_49,Dari,Master,Agriculture,7,4,0.27,0,High,0.92
132,5,Country_8,Arabic,None,Engineering,2,1,0.19,1,Medium,0.82
133,5,Country_22,French,Secondary,Healthcare,2,5,0.58,0,Medium,0.87
134,1,Country_66,Urdu,Secondary,Logistics,8,3,0.13,0,Low,0.6
135,5,Country_89,French,Bachelor,Healthcare,0,4,0.29,0,Low,0.87
136,5,Country_4,Swahili,Primary,Carpentry,19,1,0.62,1,Medium,0.94
137,5,Country_9,Dari,Primary,Plumbing,5,4,0.76,0,Medium,0.36
138,1,Country_70,Arabic,Secondary,Carpentry,4,3,0.72,0,Medium,0.02
139,1,Country_44,Urdu,Primary,Construction,6,2,0.62,0,Medium,0.66
140,4,Country_105,Spanish,Secondary,Plumbing,19,3,0.2,1,High,0.1
141,4,Country_31,French,None,Plumbing,1,3,0.17,0,High,0.01
142,8,Country_7,Urdu,Primary,Agriculture,14,2,0.09,1,Medium,0.66
143,8,Country_117,Swahili,Master,Agriculture,4,5,0.03,1,Medium,0.7
144,8,Country_76,Spanish,None,Carpentry,23,2,0.74,1,High,0.15
145,1,Country_109,Dari,None,Plumbing,18,5,0.8,1,Medium,0.62
146,1,Country_27,Swahili,Master,Agriculture,0,4,0.28,0,High,0.1
147,8,Country_101,Urdu,Master,Agriculture,22,3,0.55,0,High,0.17
148,7,Country_96,Dari,None,Engineering,16,2,0.71,1,Medium,0.5
149,8,Country_48,Swahili,Bachelor,Plumbing,19,3,0.33,0,Low,0.97
150,4,Country_18,Swahili,None,Engineering,19,3,0.84,0,Low,0.86
151,1,Country_49,Urdu,Secondary,Healthcare,19,2,0.84,0,Medium,1.0
152,3,Country_111,Dari,Bachelor,Engineering,22,2,0.85,0,High,0.61
153,5,Country_55,Spanish,None,Engineering,13,2,0.65,1,Low,0.09
154,1,Country_46,Swahili,Master,Logistics,20,4,0.62,0,Low,0.94
155,2,Country_76,French,Secondary,Engineering,4,4,0.39,0,High,0.57
156,8,Country_112,Dari,Primary,Retail,14,2,0.28,1,Medium,0.81
157,3,Country_24,Swahili,Master,Engineering,18,2,0.7,0,High,0.24
158,2,Country_107,English,None,Carpentry,20,2,0.63,0,Low,0.51
159,2,Country_94,English,None,Construction,9,1,0.42,0,Low,0.73
160,2,Country_73,Dari,Secondary,Plumbing,15,2,0.74,0,High,0.6
161,2,Country_23,Swahili,Master,IT,0,5,0.45,1,Medium,0.81
162,3,Country_14,Swahili,Secondary,Agriculture,3,1,0.1,0,High,0.34
163,7,Country_67,Urdu,Primary,Teaching,8,1,0.42,0,Medium,0.99
164,1,Country_89,Swahili,None,Agriculture,16,5,0.48,0,Low,0.23
165,1,Country_109,Urdu,None,Retail,20,5,0.06,1,Medium,0.83
166,2,Country_16,Spanish,Primary,Teaching,21,1,0.3,1,Medium,0.04
167,3,Country_100,Urdu,Bachelor,IT,9,4,0.39,1,Low,0.31
168,5,Country_87,Swahili,Master,Healthcare,1,3,0.7,1,High,0.57
169,3,Country_36,English,Bachelor,Agriculture,7,3,0.36,1,Medium,0.72
170,2,Country_103,Urdu,Primary,Healthcare,24,2,0.8,0,Medium,0.98
171,8,Country_64,English,Primary,Healthcare,24,4,0.13,1,Low,0.64
172,8,Country_66,Urdu,None,Retail,21,2,0.49,0,Low,0.26
173,5,Country_96,Arabic,Bachelor,Plumbing,12,5,0.39,1,Medium,0.38
174,5,Country_94,English,Master,Engineering,10,2,0.29,1,High,0.37
175,2,Country_5,Spanish,Master,Plumbing,14,3,0.08,0,High,0.83
176,4,Country_31,English,Master,Teaching,13,4,0.6,0,Low,0.84
177,6,Country_113,Spanish,None,Plumbing,25,2,0.37,1,Medium,0.35
178,7,Country_39,Arabic,Secondary,Construction,5,4,0.74,0,Low,0.25
179,7,Country_5,Spanish,Bachelor,Construction,23,2,0.12,0,High,0.38
180,3,Country_13,Arabic,Master,Logistics,17,5,0.08,0,High,0.07
181,1,Country_27,English,Primary,Carpentry,10,3,0.64,1,Medium,0.77
182,4,Country_66,Spanish,Primary,Construction,4,4,0.51,0,High,0.58
183,2,Country_44,Urdu,Secondary,Healthcare,0,1,0.6,0,Medium,0.85
184,3,Country_71,Dari,None,Agriculture,6,2,0.58,0,Low,0.74
185,5,Country_115,Urdu,Master,Healthcare,3,5,0.36,0,Medium,0.1
186,3,Country_24,Dari,None,Engineering,2,3,0.81,0,Low,0.6
187,5,Country_114,French,None,Carpentry,15,5,0.17,1,High,0.28
188,6,Country_50,Dari,Primary,IT,22,3,0.31,1,High,0.46
189,2,Country_70,English,Bachelor,Engineering,11,2,0.89,0,Low,0.34
190,2,Country_59,Spanish,Master,Teaching,21,2,0.82,1,Medium,0.46
191,4,Country_56,Dari,Bachelor,Carpentry,22,1,0.91,0,Medium,0.45
192,6,Country_69,Arabic,Bachelor,Retail,24,1,0.75,1,High,0.26
193,6,Country_30,Arabic,Primary,Logistics,25,5,0.83,1,High,0.43
194,8,Country_94,Arabic,Secondary,Logistics,24,4,0.61,1,High,0.56
195,2,Country_51,Arabic,None,Agriculture,23,2,0.89,0,High,0.59
196,6,Country_23,French,Secondary,Retail,0,4,0.61,1,Medium,0.04
197,5,Country_56,English,Master,IT,0,5,0.48,0,Medium,0.23
198,5,Country_99,Urdu,Secondary,Construction,9,5,0.61,0,High,0.24
199,3,Country_98,French,Primary,Retail,7,4,0.78,1,High,0.36
200,4,Country_68,Swahili,Secondary,Engineering,12,4,0.02,1,Low,0.81
201,8,Country_8,Dari,Master,Retail,17,3,0.84,0,Low,0.35
202,2,Country_116,Spanish,Primary,Construction,21,5,0.39,0,Medium,0.03
203,8,Country_55,Spanish,Bachelor,Healthcare,17,5,0.88,0,Medium,0.78
204,2,Country_55,Dari,Bachelor,Plumbing,20,1,0.36,1,Low,0.46
205,6,Country_50,Swahili,None,Healthcare,24,3,0.7,0,High,0.17
206,2,Country_43,Spanish,None,Plumbing,10,2,0.18,1,High,0.17
207,4,Country_93,Swahili,Bachelor,Logistics,12,5,0.55,0,High,0.72
208,4,Country_82,Spanish,None,Engineering,3,3,0.95,1,Medium,0.47
209,1,Country_93,Spanish,None,Construction,3,2,0.95,1,Medium,0.61
210,4,Country_108,Urdu,None,Construction,9,3,0.53,0,High,0.06
211,5,Country_27,English,Bachelor,Logistics,11,2,0.64,0,Medium,0.95
212,3,Country_116,Urdu,Primary,Engineering,17,1,0.89,0,High,0.32
213,2,Country_38,English,Master,Healthcare,12,2,0.74,1,Low,0.4
214,2,Country_32,Spanish,Bachelor,Logistics,12,5,0.64,0,Medium,0.36
215,5,Country_62,English,None,Healthcare,10,5,0.81,1,Medium,0.6
216,5,Country_63,Dari,Secondary,Engineering,25,2,0.63,0,Medium,0.59
217,3,Country_93,Swahili,Primary,IT,17,5,0.08,1,High,0.28
218,5,Country_1,Dari,Bachelor,Logistics,9,2,0.45,0,Medium,0.95
219,2,Country_88,Urdu,Primary,Agriculture,8,5,0.69,0,Low,0.52
220,4,Country_104,Swahili,Bachelor,Healthcare,10,2,0.24,0,Medium,0.45
221,7,Country_109,Swahili,Bachelor,IT,24,4,0.54,0,Low,0.43
222,6,Country_65,Dari,Master,IT,14,4,0.53,0,High,0.86
223,7,Country_87,Spanish,None,Logistics,3,5,0.81,1,High,0.03
224,3,Country_20,French,Bachelor,Retail,24,5,0.99,0,Medium,0.23
225,3,Country_40,Arabic,None,Logistics,19,2,0.66,0,Low,0.79
226,4,Country_109,Swahili,Bachelor,IT,8,2,0.66,1,High,0.56
227,7,Country_1,Arabic,None,Retail,4,2,0.53,0,Medium,0.19
228,7,Country_41,Swahili,None,Agriculture,20,5,0.38,0,Medium,0.0
229,5,Country_48,Swahili,Secondary,Logistics,14,1,0.71,0,High,0.38
230,8,Country_96,French,None,Retail,22,3,0.63,1,Low,0.53
231,3,Country_88,French,None,Teaching,2,5,0.02,1,High,0.36
232,7,Country_29,French,None,Construction,9,1,0.14,0,Low,0.69
233,4,Country_9,Spanish,None,Plumbing,7,2,0.5,0,High,0.58
234,8,Country_56,Spanish,Master,Engineering,7,1,0.86,0,Medium,0.79
235,5,Country_99,Swahili,Primary,Healthcare,12,2,0.92,0,High,0.6
236,1,Country_105,French,Secondary,Logistics,17,4,0.53,0,Low,0.68
237,6,Country_81,Swahili,None,Retail,4,4,0.07,0,Medium,0.12
238,3,Country_114,Arabic,None,Healthcare,13,4,0.07,0,Medium,0.92
239,1,Country_85,Urdu,Secondary,Carpentry,15,4,0.87,0,Low,0.17
240,5,Country_53,Spanish,Master,Construction,25,2,0.95,1,Medium,0.89
241,1,Country_67,English,None,Plumbing,6,5,0.93,0,Medium,0.42
242,6,Country_17,Dari,None,Retail,8,1,0.03,0,Low,0.89
243,6,Country_64,Urdu,Primary,Retail,23,1,0.27,0,Medium,0.78
244,2,Country_30,Dari,Master,IT,2,3,0.65,0,High,0.53
245,6,Country_113,French,Master,IT,10,2,0.57,0,High,0.01
246,4,Country_35,English,Master,Engineering,3,1,0.64,0,High,0.73
247,4,Country_26,English,Secondary,Agriculture,5,3,0.08,0,Low,0.57
248,2,Country_38,Dari,Primary,Logistics,6,3,0.33,1,Medium,0.5
249,1,Country_83,Arabic,Bachelor,Healthcare,13,2,0.13,0,Medium,0.23
250,8,Country_111,Dari,Bachelor,Healthcare,15,1,0.51,0,High,0.31
251,6,Country_45,Spanish,Primary,Agriculture,19,2,0.42,1,High,0.26
252,3,Country_67,Arabic,Secondary,Healthcare,2,3,0.15,1,Medium,0.07
253,7,Country_56,Arabic,Master,Carpentry,22,1,0.18,1,Medium,0.72
254,7,Country_64,Arabic,Bachelor,Healthcare,23,2,0.38,0,Medium,0.55
255,3,Country_60,French,Master,Healthcare,7,1,0.46,0,High,0.66
256,2,Country_65,Arabic,Master,Retail,13,1,0.47,0,High,0.54
257,4,Country_5,Arabic,None,Teaching,7,1,0.03,0,Medium,0.24
258,2,Country_86,Urdu,Primary,Retail,19,3,0.27,1,Medium,0.95
259,3,Country_114,French,None,Carpentry,24,1,0.99,1,High,0.41
260,3,Country_120,Dari,Secondary,Plumbing,12,1,0.22,1,High,0.93
261,8,Country_88,English,Primary,Agriculture,17,2,0.31,0,Low,0.09
262,3,Country_56,Dari,Primary,Logistics,22,4,0.18,1,High,0.14
263,5,Country_75,Swahili,Bachelor,Teaching,21,1,0.24,1,High,0.6
264,7,Country_105,English,None,Engineering,4,5,0.87,1,High,0.21
265,2,Country_3,Spanish,Bachelor,Plumbing,23,4,0.84,1,Low,0.77
266,7,Country_67,English,Primary,Construction,10,2,0.94,1,Medium,0.35
267,1,Country_119,Swahili,None,Retail,11,2,0.96,1,Medium,0.23
268,1,Country_91,French,Secondary,Agriculture,0,1,0.34,1,Low,0.96
269,1,Country_26,Swahili,Secondary,Carpentry,10,1,0.03,1,Medium,0.74
270,1,Country_111,French,Master,Retail,4,1,0.06,1,Medium,0.12
271,6,Country_57,Spanish,Master,Agriculture,17,2,0.65,0,Medium,0.55
272,1,Country_56,French,Master,Agriculture,23,1,0.59,0,Medium,0.92
273,4,Country_67,Spanish,Secondary,IT,2,1,0.96,0,Medium,0.44
274,5,Country_84,Urdu,Bachelor,Healthcare,8,5,0.65,0,Low,0.2
275,8,Country_19,Dari,Primary,Teaching,8,3,0.22,1,Low,0.24
276,5,Country_83,Dari,Master,Teaching,24,5,0.82,1,High,0.79
277,5,Country_87,Swahili,Master,Construction,2,4,0.75,0,Low,0.92
278,7,Country_102,Spanish,Master,Teaching,2,2,0.13,0,Medium,0.31
279,8,Country_74,Arabic,Bachelor,Retail,19,4,0.56,0,Medium,0.88
280,8,Country_109,English,Secondary,Retail,25,5,0.15,1,High,0.45
281,4,Country_33,Spanish,Secondary,IT,15,4,0.0,1,Low,0.13
282,1,Country_36,Urdu,Master,IT,25,3,0.1,0,Low,0.98
283,3,Country_112,Swahili,Primary,Teaching,25,2,0.96,1,Medium,0.98
284,2,Country_68,Urdu,Bachelor,Construction,6,5,0.67,0,Low,0.01
285,1,Country_58,Urdu,Bachelor,Plumbing,8,4,0.63,0,Low,0.98
286,2,Country_13,Arabic,Primary,Healthcare,22,5,0.58,1,High,0.21
287,8,Country_15,English,Secondary,Construction,17,2,0.34,0,Medium,0.25
288,5,Country_69,Spanish,Primary,Agriculture,20,4,0.91,1,High,0.05
289,2,Country_37,Arabic,Master,Plumbing,0,3,0.99,1,Medium,0.34
290,1,Country_97,Swahili,Secondary,Retail,25,5,0.41,1,Medium,0.63
291,5,Country_102,English,Secondary,Logistics,10,1,0.81,1,Low,0.01
292,4,Country_34,Swahili,None,Agriculture,19,1,0.16,1,Low,0.52
293,7,Country_56,Swahili,Bachelor,Construction,12,3,0.65,0,High,0.66
294,1,Country_106,Swahili,None,Retail,9,5,0.72,1,High,0.01
295,3,Country_86,English,Master,Teaching,2,1,0.92,1,Medium,0.37
296,6,Country_68,Swahili,Secondary,IT,2,3,0.33,0,Medium,0.13
297,3,Country_120,Urdu,Master,IT,12,4,0.92,1,Medium,0.6
298,6,Country_76,Swahili,Primary,Retail,19,3,0.12,1,High,0.71
299,3,Country_116,Arabic,None,Carpentry,13,2,0.04,1,High,0.99
300,1,Country_14,French,Secondary,Carpentry,18,5,0.02,1,High,0.84
301,4,Country_111,Swahili,None,Retail,2,1,0.85,0,High,0.16
302,4,Country_24,French,Primary,Teaching,18,5,0.49,0,Low,0.76
303,2,Country_19,Spanish,Master,Engineering,25,5,0.66,0,Medium,0.72
304,2,Country_75,Spanish,Primary,IT,2,5,0.12,0,Low,0.85
305,3,Country_85,Arabic,Primary,Logistics,16,2,0.06,1,High,0.39
306,1,Country_93,Spanish,Secondary,Plumbing,2,2,0.06,0,Low,0.41
307,2,Country_1,Swahili,Master,Construction,12,1,0.71,1,Medium,0.92
308,3,Country_99,French,None,Logistics,19,5,0.23,0,High,0.19
309,1,Country_13,Spanish,Master,Retail,6,5,0.28,0,Medium,0.75
310,5,Country_95,Swahili,Bachelor,Construction,4,4,0.27,1,Low,0.0
311,5,Country_11,English,None,IT,25,5,0.9,1,High,0.75
312,6,Country_35,Spanish,Secondary,IT,11,2,0.33,1,High,0.51
313,8,Country_50,Arabic,None,IT,23,4,0.26,1,High,0.16
314,4,Country_58,English,Secondary,Teaching,10,2,0.27,0,Medium,0.48
315,4,Country_18,English,Secondary,IT,19,2,0.77,1,Low,0.41
316,3,Country_79,Dari,Bachelor,Logistics,13,4,0.9,1,High,0.74
317,2,Country_44,Arabic,Primary,Healthcare,19,3,0.61,1,High,0.81
318,4,Country_102,Spanish,Bachelor,Healthcare,20,3,0.68,1,Medium,0.42
319,3,Country_49,Dari,Secondary,Agriculture,7,3,0.79,0,Medium,0.86
320,3,Country_45,French,None,Teaching,9,3,0.28,1,Medium,0.2
321,3,Country_32,French,Primary,Teaching,10,2,0.66,0,High,0.38
322,5,Country_118,French,Bachelor,Construction,12,2,0.98,0,Low,0.16
323,8,Country_49,Dari,Master,Agriculture,2,1,0.23,1,High,0.67
324,6,Country_33,Dari,None,IT,19,1,0.55,0,High,0.22
325,6,Country_115,Dari,None,Carpentry,17,5,0.35,0,Medium,0.93
326,3,Country_5,Dari,Primary,Construction,5,2,0.27,0,High,0.47
327,4,Country_94,Swahili,Master,Engineering,1,2,0.85,0,Medium,0.19
328,7,Country_26,Spanish,Secondary,Construction,22,4,0.92,1,High,0.37
329,6,Country_73,English,None,Healthcare,13,1,0.8,1,High,0.02
330,6,Country_20,Urdu,None,Construction,19,2,0.69,0,High,0.97
331,8,Country_69,Spanish,Bachelor,Teaching,17,3,0.48,0,Medium,0.89
332,8,Country_10,Urdu,None,IT,0,2,0.67,0,Medium,0.82
333,7,Country_105,English,Secondary,Engineering,13,3,0.58,1,Medium,0.35
334,4,Country_53,Dari,Secondary,IT,19,4,0.85,1,Low,0.25
335,8,Country_119,Swahili,Secondary,Retail,5,5,0.21,0,Medium,0.2
336,3,Country_23,French,Primary,Construction,15,5,0.02,1,High,0.36
337,7,Country_101,Urdu,Secondary,Logistics,20,4,0.97,1,Medium,0.61
338,5,Country_79,Swahili,Bachelor,Engineering,3,1,0.62,1,Medium,0.76
339,3,Country_26,Swahili,Master,Logistics,20,1,0.57,0,Medium,0.58
340,4,Country_118,English,None,Logistics,6,2,0.13,1,Low,0.96
341,3,Country_80,Arabic,Bachelor,Plumbing,4,5,0.59,0,Low,0.49
342,5,Country_117,Urdu,None,Healthcare,23,3,0.28,0,Medium,0.59
343,4,Country_55,Dari,Bachelor,IT,13,4,0.37,0,Medium,0.26
344,8,Country_117,Arabic,Bachelor,IT,9,1,0.75,0,Low,0.29
345,5,Country_76,English,Secondary,Plumbing,13,1,0.06,0,Low,0.24
346,3,Country_56,Urdu,Primary,Retail,15,1,0.81,0,Medium,0.47
347,3,Country_72,Swahili,Master,Plumbing,12,3,0.76,0,High,0.68
348,8,Country_47,Spanish,None,Construction,21,2,0.61,1,Low,0.95
349,2,Country_2,Arabic,None,Plumbing,9,5,0.0,1,High,0.92
350,3,Country_29,Swahili,Primary,Agriculture,10,3,0.35,1,High,0.05
